IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
FAO,UNRISD,0.2012118558952644,0.7580763178877205,-0.5568644619924561,False,False
FAO,BRS,0.5968709988914099,0.7712085287148964,-0.1743375298234865,False,False
FAO,CBD,0.8901570814605683,0.6883233940687886,0.20183368739177965,True,False
FAO,CITES,0.5253193244166071,0.7405867306046288,-0.21526740618802165,False,False
FAO,CMS,0.5155874964520891,0.6713624342440292,-0.15577493779194007,False,False
FAO,IFAD,0.16235211811288455,0.6103044950510341,-0.4479523769381496,False,False
FAO,ITC,0.14435543263624273,0.8132597529542955,-0.6689043203180528,False,False
FAO,UNCCD,0.2821577771956997,0.7616700005560816,-0.4795122233603819,False,False
FAO,UNU,0.272796652512525,0.679340401966472,-0.40654374945394706,False,False
FAO,Ramsar,0.4166375108574431,0.7941578945826095,-0.37752038372516644,False,False
FAO,Minamata,0.2577259976107665,0.7678651276157122,-0.5101391300049458,False,False
FAO,UNOOSA,0.24298640079818792,0.7992036117161536,-0.5562172109179657,False,False
FAO,UNODC,0.13308913288415883,0.7748077243432786,-0.6417185914591198,False,False
IMO,UN DOALOS,0.6731407890925819,0.7661511906417161,-0.0930104015491342,False,False
IMO,UNFCCC,0.7155274137670398,0.7364486659044206,-0.02092125213738083,False,False
IMO,ISA,0.2707839764335047,0.8677134397667474,-0.5969294633332427,False,False
IMO,UNEP,0.5474839727344645,0.7370906342988833,-0.18960666156441885,False,False
IMO,UNDP,0.43596671991887714,0.6807253672376554,-0.24475864731877828,False,False
IMO,UNCTAD,0.38320679113374917,0.8549356959005578,-0.4717289047668087,False,False
IMO,UNIDO,0.5819359651411364,0.7232289696762925,-0.14129300453515603,False,False
IMO,ILO,0.6930949282049105,0.6994348737876424,-0.006339945582731876,False,False
IMO,ITU,0.3213286629054851,0.7258385480517578,-0.40450988514627273,False,False
IMO,UNICEF,0.37868946088345795,0.8917563734634703,-0.5130669125800122,False,False
IMO,WHO,0.39734475638566163,0.7840310405342139,-0.3866862841485523,False,False
IMO,UNHCR/OHCHR,0.2777056046478692,0.6405804455009303,-0.3628748408530611,False,False
IMO,UNDRR,0.4624430935331531,0.8853420465136794,-0.4228989529805263,False,False
IMO,UNGC,0.667768212447843,0.6259802460067445,0.0417879664410985,True,False
IMO,IAEA,0.8868103884526453,0.9040613542048361,-0.017250965752190872,False,False
IMO,WMO,0.7830232927582982,0.8815409264032015,-0.09851763364490329,False,False
IMO,OECD,0.6009187533659003,0.6025347331996185,-0.0016159798337181952,False,False
IMO,WBG,0.5774597402314116,0.6055566463125394,-0.028096906081127804,False,False
IMO,IMF,0.6464769841897868,0.8271294556053129,-0.1806524714155261,False,False
IMO,IHO,0.9502578394694486,0.8882139643711293,0.06204387509831932,True,False
IMO,ICES,0.41317936602380484,0.8280981897413698,-0.414918823717565,False,False
IMO,IPBES,0.6718999003800347,0.8177635895483816,-0.1458636891683469,False,False
IMO,IPCC,0.31823591852914107,0.7364375802893303,-0.4182016617601892,False,False
IMO,WTO,0.6434814141288412,0.9186510188700882,-0.27516960474124696,False,False
IMO,IOM,0.5160624800387481,0.7450955657465314,-0.22903308570778325,False,False
IMO,UNOPS,0.5347232170993893,0.676059150452266,-0.14133593335287664,False,False
IMO,UN Women,0.4284382172073135,0.7520088991687802,-0.3235706819614667,False,False
IMO,WIPO,0.2511941707624797,0.8497134761739407,-0.598519305411461,False,False
IMO,UNFPA,0.3425375055851995,0.7796085291187888,-0.43707102353358923,False,False
IMO,UN-Habitat,0.4242775190909884,0.754039841309023,-0.32976232221803464,False,False
IMO,WFP,0.09580169778343733,0.6968282811783212,-0.6010265833948838,False,False
IMO,UNWTO,0.548241442124446,0.7728528637464622,-0.2246114216220162,False,False
IMO,UNRISD,0.3258867439449552,0.6830668343078837,-0.3571800903629285,False,False
