relative_path,exclusion_reason
06_scoring_and_normalisation/data/raw/ch04_s6_raw_strategies.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_subject_matter_jurisdiction.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/data/raw/ch04_s6_raw_vertical_coordination.xlsx,Text-bearing RAW/CLEAN workbook excluded from public distribution; category matrices and scores retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_defined_interinstitutional_relationships_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_defined_objectives_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_horizontal_coordination_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_sources_of_jurisdiction_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_spatial_jurisdiction_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_strategies_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_subject_matter_jurisdiction_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_csvs/ch04_s6_vertical_coordination_traceability_long_corrected.csv,Traceability table embeds verbatim attribute text and KWIC evidence; matrix-wide output retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_defined_interinstitutional_relationships_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_defined_objectives_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_horizontal_coordination_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_sources_of_jurisdiction_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_spatial_jurisdiction_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_strategies_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_subject_matter_jurisdiction_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
06_scoring_and_normalisation/outputs/family_workbooks/ch04_s6_vertical_coordination_corrected.xlsx,Workbook embeds verbatim text and KWIC evidence; corresponding matrix-wide CSV retained.
